"price","size_m2","rooms","city","type","condition","price2","size2","unit_price"
"54,9 M Ft ","55  m2","2 szoba ","Budapest, II. kerület ","tégla építésû","Felújított állapotú",54.9,55,0.998181818181818
"69,9 M Ft ","61  m2","2 és fél szoba ","Budapest, XX. kerület ","tégla építésû","Újszerû állapotú",69.9,61,1.14590163934426
"13,5 M Ft ","43  m2","2 szoba ","Nagykanizsa ","tégla építésû","Jó állapotú",13.5,43,0.313953488372093
"21 M Ft ","53  m2","3 szoba ","Tatabánya ","tégla építésû","Jó állapotú",21,53,0.39622641509434
"28,7 M Ft ","30  m2","1 szoba ","Budapest, III. kerület ","tégla építésû","Jó állapotú",28.7,30,0.956666666666667
"109 M Ft ","121  m2","4 szoba ","Budapest, III. kerület ","tégla építésû","Jó állapotú",109,121,0.900826446280992
"79 M Ft ","97  m2","4 szoba ","Budapest, XIX. kerület ","tégla építésû",NA,79,97,0.814432989690722
"94 M Ft ","105  m2","4 és fél szoba ","Budapest, XI. kerület ","tégla építésû","Jó állapotú",94,105,0.895238095238095
"136 M Ft ","107  m2","4 szoba ","Budapest, VI. kerület ","tégla építésû","Felújított állapotú",136,107,1.27102803738318
"136 M Ft ","107  m2","4 szoba ","Budapest, VI. kerület ","tégla építésû","Felújított állapotú",136,107,1.27102803738318
"149,9 M Ft ","195  m2","4 szoba ","Budapest, XII. kerület ","tégla építésû","Jó állapotú",149.9,195,0.768717948717949
"89,8 M Ft ","94  m2","4 szoba ","Budapest, I. kerület ","tégla építésû",NA,89.8,94,0.95531914893617
"149,9 M Ft ","185  m2","4 és fél szoba ","Budapest, XII. kerület ","tégla építésû","Jó állapotú",149.9,185,0.81027027027027
"15,4 M Ft ","80  m2","20 szoba ","Feldebrõ ","tégla építésû","Jó állapotú",15.4,80,0.1925
"32,9 M Ft ","48  m2","3 szoba ","Budapest, IX. kerület ","tégla építésû","Felújított állapotú",32.9,48,0.685416666666667
"330 M Ft ","169  m2","3 szoba ","Budapest, XIII. kerület ","tégla építésû","Felújított állapotú",330,169,1.95266272189349
"95 M Ft ","89  m2","3 szoba ","Budapest, V. kerület ","tégla építésû","Felújított állapotú",95,89,1.06741573033708
"93 M Ft ","111  m2","5 szoba ","Veszprém ","tégla építésû","Új építésû",93,111,0.837837837837838
"26,5 M Ft ","50  m2","2 szoba ","Hódmezõvásárhely ","tégla építésû",NA,26.5,50,0.53
"16,8 M Ft ","40  m2","1 és fél szoba ","Pécs ","panellakás","felújítandó",16.8,40,0.42
"16,8 M Ft ","40  m2","1 és fél szoba ","Pécs ","panellakás","felújítandó",16.8,40,0.42
"16,8 M Ft ","40  m2","1 és fél szoba ","Pécs ","panellakás","felújítandó",16.8,40,0.42
"22,5 M Ft ","48  m2","2 szoba ","Kecskemét ","tégla építésû","felújítandó",22.5,48,0.46875
"24,9 M Ft ","32  m2","1 szoba ","Budapest, XIII. kerület ","tégla építésû","Felújított állapotú",24.9,32,0.778125
"5,6 M Ft ","60  m2","1 szoba ","Lõrinci ","tégla építésû","felújítandó",5.6,60,0.0933333333333333
"22,4 M Ft ","27  m2","1 szoba ","Budapest, VII. kerület ","tégla építésû","Jó állapotú",22.4,27,0.82962962962963
"71,5 M Ft ","92  m2","4 szoba ","Kecskemét ","tégla építésû","Újszerû állapotú",71.5,92,0.777173913043478
"165 M Ft ","75  m2","3 szoba ","Budapest, III. kerület ","tégla építésû","Új építésû",165,75,2.2
"111 M Ft ","62  m2","3 szoba ","Budapest, III. kerület ","tégla építésû","Új építésû",111,62,1.79032258064516
"48,9 M Ft ","58  m2","2 szoba ","Budapest, XIII. kerület ","tégla építésû","Jó állapotú",48.9,58,0.843103448275862
"31,9 M Ft ","51  m2","2 szoba ","Budapest, X. kerület ","panellakás","Jó állapotú",31.9,51,0.625490196078431
"36,4 M Ft ","46  m2","1 és fél szoba ","Budapest, XIII. kerület ","tégla építésû","Jó állapotú",36.4,46,0.791304347826087
"31,9 M Ft ","64  m2","3 szoba ","Budapest, X. kerület ","panellakás","Jó állapotú",31.9,64,0.4984375
"57,7 M Ft ","80  m2","2 szoba ","Budapest, VIII. kerület ","tégla építésû","Felújított állapotú",57.7,80,0.72125
"39,9 M Ft ","63  m2","2 szoba ","Budapest, IX. kerület ","tégla építésû","Felújított állapotú",39.9,63,0.633333333333333
"32,9 M Ft ","58  m2","2 szoba ","Budapest, VIII. kerület ","tégla építésû","Jó állapotú",32.9,58,0.567241379310345
"31,5 M Ft ","60  m2","1 és fél szoba ","Budapest, XXIII. kerület ","panellakás",NA,31.5,60,0.525
"21,9 M Ft ","58  m2","2 szoba ","Kecskemét ","tégla építésû","Jó állapotú",21.9,58,0.377586206896552
"21,9 M Ft ","58  m2","2 szoba ","Kecskemét ","tégla építésû","Jó állapotú",21.9,58,0.377586206896552
"21,9 M Ft ","58  m2","2 szoba ","Kecskemét ","tégla építésû","Jó állapotú",21.9,58,0.377586206896552
"19,5 M Ft ","52  m2","2 szoba ","Pécs ","panellakás","Jó állapotú",19.5,52,0.375
"10,4 M Ft ","29  m2","1 szoba ","Harkány ","tégla építésû","Jó állapotú",10.4,29,0.358620689655172
"25 M Ft ","32  m2","1 szoba ","Budapest, XIII. kerület ","tégla építésû","Jó állapotú",25,32,0.78125
"46,9 M Ft ","78  m2","1 és 3 fél szoba ","Szombathely ","tégla építésû","Új építésû",46.9,78,0.601282051282051
"27,4 M Ft ","53  m2","1 és 2 fél szoba ","Szeged ","tégla építésû","Felújított állapotú",27.4,53,0.516981132075472
"32,6 M Ft ","49  m2","2 szoba ","Budapest, XVII. kerület ","panellakás","Jó állapotú",32.6,49,0.66530612244898
"43,9 M Ft ","44  m2","2 szoba ","Budapest, VIII. kerület ","tégla építésû","Jó állapotú",43.9,44,0.997727272727273
"55 M Ft ","63  m2","2 szoba ","Budapest, VII. kerület ","tégla építésû","Felújított állapotú",55,63,0.873015873015873
"46,5 M Ft ","48  m2","2 szoba ","Debrecen ","tégla építésû","Jó állapotú",46.5,48,0.96875
"45 M Ft ","54  m2","2 szoba ","Budapest, X. kerület ","tégla építésû","Felújított állapotú",45,54,0.833333333333333
"57,8 M Ft ","80  m2","2 szoba ","Budapest, VIII. kerület ","tégla építésû","Jó állapotú",57.8,80,0.7225
"46,5 M Ft ","48  m2","2 szoba ","Debrecen ","tégla építésû","Jó állapotú",46.5,48,0.96875
"32 M Ft ","61  m2","2 szoba ","Pécs ","tégla építésû","Felújított állapotú",32,61,0.524590163934426
"39,9 M Ft ","58  m2","2 szoba ","Budapest, IX. kerület ","tégla építésû","felújítandó",39.9,58,0.687931034482759
"65 M Ft ","70  m2","2 szoba ","Budapest, IX. kerület ","tégla építésû","Felújított állapotú",65,70,0.928571428571429
"85 M Ft ","73  m2","2 és fél szoba ","Budapest, II. kerület ","tégla építésû","Jó állapotú",85,73,1.16438356164384
"15 M Ft ","80  m2","2 szoba ","Andocs ","tégla építésû","Új építésû",15,80,0.1875
"65 M Ft ","70  m2","2 szoba ","Budapest, IX. kerület ","tégla építésû","Felújított állapotú",65,70,0.928571428571429
"53 M Ft ","53  m2","2 szoba ","Budapest, IX. kerület ","tégla építésû","Jó állapotú",53,53,1
"42 M Ft ","64  m2","2 szoba ","Budapest, VI. kerület ","tégla építésû","Jó állapotú",42,64,0.65625
"34,5 M Ft ","49  m2","2 szoba ","Budapest, XIII. kerület ","tégla építésû","Jó állapotú",34.5,49,0.704081632653061
"30 M Ft ","44  m2","2 szoba ","Budapest, X. kerület ","tégla építésû","Jó állapotú",30,44,0.681818181818182
"30 M Ft ","44  m2","2 szoba ","Budapest, X. kerület ","tégla építésû","Jó állapotú",30,44,0.681818181818182
"28,5 M Ft ","31  m2","1 szoba ","Budapest, III. kerület ","tégla építésû",NA,28.5,31,0.919354838709677
"29,5 M Ft ","37  m2","1 szoba ","Budapest, VIII. kerület ","tégla építésû","Felújított állapotú",29.5,37,0.797297297297297
"29,7 M Ft ","32  m2","1 szoba ","Budapest, IX. kerület ","tégla építésû","Felújított állapotú",29.7,32,0.928125
"72,7 M Ft ","99  m2","3 szoba ","Budapest, IX. kerület ","tégla építésû","Jó állapotú",72.7,99,0.734343434343434
"62,5 M Ft ","87  m2","3 szoba ","Budapest, IV. kerület ","tégla építésû","Jó állapotú",62.5,87,0.718390804597701
"149,9 M Ft ","109  m2","3 szoba ","Budapest, V. kerület ","tégla építésû","Jó állapotú",149.9,109,1.37522935779817
"72,7 M Ft ","99  m2","3 szoba ","Budapest, IX. kerület ","tégla építésû","Jó állapotú",72.7,99,0.734343434343434
"21,4 M Ft ","67  m2","3 szoba ","Pécs ","panellakás","Felújított állapotú",21.4,67,0.319402985074627
"30,5 M Ft ","71  m2","3 szoba ","Debrecen ","panellakás","Felújított állapotú",30.5,71,0.429577464788732
"49 M Ft ","68  m2","2 szoba ","Budapest, VI. kerület ","tégla építésû","felújítandó",49,68,0.720588235294118
"15 M Ft ","28  m2","1 szoba ","Budapest, X. kerület ","tégla építésû","Jó állapotú",15,28,0.535714285714286
"17,9 M Ft ","22  m2","1 szoba ","Budapest, XIX. kerület ","tégla építésû","Jó állapotú",17.9,22,0.813636363636364
"41,9 M Ft ","58  m2","1 és 2 fél szoba ","Budapest, XIII. kerület ","panellakás","Felújított állapotú",41.9,58,0.722413793103448
"23,5 M Ft ","35  m2","2 fél szoba ","Budapest, VIII. kerület ","tégla építésû","Jó állapotú",23.5,35,0.671428571428571
"65 M Ft ","73  m2","3 szoba ","Budapest, IX. kerület ","tégla építésû","Felújított állapotú",65,73,0.89041095890411
"52,9 M Ft ","77  m2","3 szoba ","Budapest, XX. kerület ","tégla építésû","Jó állapotú",52.9,77,0.687012987012987
"49,9 M Ft ","79  m2","3 szoba ","Budapest, IX. kerület ","tégla építésû","Jó állapotú",49.9,79,0.631645569620253
"54,6 M Ft ","68  m2","3 szoba ","Budapest, IX. kerület ","tégla építésû","Jó állapotú",54.6,68,0.802941176470588
"39,9 M Ft ","74  m2","3 szoba ","Pécs ","tégla építésû","Jó állapotú",39.9,74,0.539189189189189
"40 M Ft ","67  m2","3 szoba ","Budapest, IX. kerület ","tégla építésû","felújítandó",40,67,0.597014925373134
"19,7 M Ft ","55  m2","2 szoba ","Kecskemét ","panellakás","Jó állapotú",19.7,55,0.358181818181818
"65 M Ft ","38  m2","2 szoba ","Budapest, XI. kerület ","tégla építésû","Új építésû",65,38,1.71052631578947
"42,9 M Ft ","60  m2","2 szoba ","Budapest, IX. kerület ","tégla építésû","Jó állapotú",42.9,60,0.715
"75,9 M Ft ","52  m2","2 szoba ","Balatonföldvár ","tégla építésû","Új építésû",75.9,52,1.45961538461538
"46,9 M Ft ","52  m2","2 szoba ","Budapest, IX. kerület ","tégla építésû","Jó állapotú",46.9,52,0.901923076923077
"35,9 M Ft ","56  m2","2 szoba ","Sopron ","tégla építésû","Újszerû állapotú",35.9,56,0.641071428571429
"81,1 M Ft ","54  m2","2 szoba ","Siófok ","tégla építésû","Újszerû állapotú",81.1,54,1.50185185185185
"57,9 M Ft ","60  m2","2 szoba ","Debrecen ","tégla építésû","Új építésû",57.9,60,0.965
"21,9 M Ft ","60  m2","1 és 2 fél szoba ","Miskolc ","panellakás","felújítandó",21.9,60,0.365
"12 M Ft ","28  m2","1 szoba ","Miskolc ","panellakás","Jó állapotú",12,28,0.428571428571429
"15,2 M Ft ","33  m2","1 szoba ","Kaposvár ","panellakás","felújítandó",15.2,33,0.460606060606061
"20,5 M Ft ","28  m2","1 szoba ","Budapest, VIII. kerület ","tégla építésû","felújítandó",20.5,28,0.732142857142857
"12 M Ft ","28  m2","1 szoba ","Budapest, X. kerület ","tégla építésû","felújítandó",12,28,0.428571428571429
"17,2 M Ft ","34  m2","1 szoba ","Budapest, VIII. kerület ","tégla építésû","felújítandó",17.2,34,0.505882352941176
"30 M Ft ","34  m2","1 szoba ","Budapest, VIII. kerület ","tégla építésû","Újszerû állapotú",30,34,0.882352941176471
"38,9 M Ft ","35  m2","1 szoba ","Debrecen ","tégla építésû","Új építésû",38.9,35,1.11142857142857
"25,3 M Ft ","35  m2","1 és fél szoba ","Szeged ","tégla építésû","Újszerû állapotú",25.3,35,0.722857142857143
"99 M Ft ","106  m2","3 és fél szoba ","Budapest, XIII. kerület ","tégla építésû","felújítandó",99,106,0.933962264150943
"54 M Ft ","60  m2","2 szoba ","Budapest, XIII. kerület ","tégla építésû","Jó állapotú",54,60,0.9
"60,5 M Ft ","43  m2","2 szoba ","Debrecen ","tégla építésû",NA,60.5,43,1.40697674418605
"42,2 M Ft ","55  m2","2 szoba ","Gyõr ","tégla építésû","Jó állapotú",42.2,55,0.767272727272727
"75,9 M Ft ","97  m2","2 és 2 fél szoba ","Budapest, VIII. kerület ","tégla építésû","Felújított állapotú",75.9,97,0.782474226804124
"31,9 M Ft ","44  m2","1 szoba ","Budapest, XIII. kerület ","tégla építésû","Jó állapotú",31.9,44,0.725
"60,4 M Ft ","110  m2","4 szoba ","Kecskemét ","tégla építésû","Újszerû állapotú",60.4,110,0.549090909090909
"75,4 M Ft ","78  m2","3 szoba ","Budapest, XIV. kerület ","tégla építésû","Új építésû",75.4,78,0.966666666666667
"169,9 M Ft ","100  m2","3 szoba ","Budapest, III. kerület ","tégla építésû","Új építésû",169.9,100,1.699
"39,5 M Ft ","60  m2","3 szoba ","Gyõr ","tégla építésû","Új építésû",39.5,60,0.658333333333333
"24,7 M Ft ","53  m2","2 szoba ","Kecskemét ","panellakás","Jó állapotú",24.7,53,0.466037735849057
"35,9 M Ft ","48  m2","1 szoba ","Budapest, XIII. kerület ","tégla építésû","Jó állapotú",35.9,48,0.747916666666667
"21,9 M Ft ","58  m2","3 szoba ","Kecskemét ","tégla építésû","Jó állapotú",21.9,58,0.377586206896552
"21,9 M Ft ","58  m2","3 szoba ","Kecskemét ","tégla építésû","Jó állapotú",21.9,58,0.377586206896552
"115,9 M Ft ","63  m2","3 szoba ","Balatonföldvár ","tégla építésû","Új építésû",115.9,63,1.83968253968254
"55,9 M Ft ","66  m2","3 szoba ","Budapest, XII. kerület ","tégla építésû","Jó állapotú",55.9,66,0.846969696969697
"39,5 M Ft ","60  m2","3 szoba ","Gyõr ","tégla építésû","Új építésû",39.5,60,0.658333333333333
"55,9 M Ft ","68  m2","3 szoba ","Debrecen ","tégla építésû",NA,55.9,68,0.822058823529412
"44,5 M Ft ","60  m2","3 szoba ","Debrecen ","tégla építésû",NA,44.5,60,0.741666666666667
"47,5 M Ft ","59  m2","3 szoba ","Budapest, XV. kerület ","tégla építésû","Jó állapotú",47.5,59,0.805084745762712
"43,4 M Ft ","59  m2","3 szoba ","Gyõr ","tégla építésû","Új építésû",43.4,59,0.735593220338983
"42 M Ft ","51  m2","2 szoba ","Debrecen ","tégla építésû","Jó állapotú",42,51,0.823529411764706
"59,5 M Ft ","69  m2","2 és fél szoba ","Budapest, XIV. kerület ","tégla építésû","Jó állapotú",59.5,69,0.86231884057971
"43,9 M Ft ","64  m2","2 szoba ","Budapest, VI. kerület ","tégla építésû","Jó állapotú",43.9,64,0.6859375
"59,5 M Ft ","69  m2","2 és fél szoba ","Budapest, XIV. kerület ","tégla építésû","Jó állapotú",59.5,69,0.86231884057971
"39,9 M Ft ","69  m2","2 szoba ","Budapest, VIII. kerület ","tégla építésû","Jó állapotú",39.9,69,0.578260869565217
"45,9 M Ft ","65  m2","2 és fél szoba ","Budapest, VII. kerület ","tégla építésû","Új építésû",45.9,65,0.706153846153846
"44,9 M Ft ","42  m2","2 szoba ","Budapest, II. kerület ","tégla építésû","Jó állapotú",44.9,42,1.06904761904762
"35,2 M Ft ","46  m2","1 és fél szoba ","Budapest, XIV. kerület ","panellakás","Újszerû állapotú",35.2,46,0.765217391304348
"61 M Ft ","69  m2","2 szoba ","Budapest, XIII. kerület ","tégla építésû","Jó állapotú",61,69,0.884057971014493
"39,8 M Ft ","52  m2","2 szoba ","Székesfehérvár ","tégla építésû","Felújított állapotú",39.8,52,0.765384615384615
"25,5 M Ft ","57  m2","1 és 2 fél szoba ","Szeged ","tégla építésû",NA,25.5,57,0.447368421052632
"17 M Ft ","60  m2","2 szoba ","Hódmezõvásárhely ","tégla építésû",NA,17,60,0.283333333333333
"46 M Ft ","44  m2","2 szoba ","Budapest, IX. kerület ","tégla építésû","Jó állapotú",46,44,1.04545454545455
"54 M Ft ","101  m2","4 szoba ","Miskolc ","tégla építésû","Új építésû",54,101,0.534653465346535
"32,9 M Ft ","100  m2","3 szoba ","Érd ","tégla építésû","Újszerû állapotú",32.9,100,0.329
"69,9 M Ft ","75  m2","3 szoba ","Pécs ","tégla építésû","Újszerû állapotú",69.9,75,0.932
"32,9 M Ft ","100  m2","3 szoba ","Érd ","tégla építésû","Újszerû állapotú",32.9,100,0.329
"69,9 M Ft ","75  m2","3 szoba ","Pécs ","tégla építésû","Újszerû állapotú",69.9,75,0.932
"20 M Ft ","54  m2","2 szoba ","Kecskemét ","panellakás","Jó állapotú",20,54,0.37037037037037
"28,5 M Ft ","69  m2","3 szoba ","Kecskemét ","tégla építésû","Jó állapotú",28.5,69,0.41304347826087
"91 M Ft ","80  m2","2 és fél szoba ","Budapest, XI. kerület ","tégla építésû","Felújított állapotú",91,80,1.1375
"27 M Ft ","73  m2","2 és fél szoba ","Keszthely ","tégla építésû","felújítandó",27,73,0.36986301369863
"32,2 M Ft ","52  m2","2 szoba ","Budapest, VIII. kerület ","tégla építésû","Jó állapotú",32.2,52,0.619230769230769
"44,9 M Ft ","61  m2","2 szoba ","Budapest, IX. kerület ","tégla építésû","Jó állapotú",44.9,61,0.736065573770492
"45,4 M Ft ","62  m2","2 szoba ","Siófok ","tégla építésû","Felújított állapotú",45.4,62,0.732258064516129
"32 M Ft ","49  m2","2 szoba ","Budapest, IX. kerület ","tégla építésû","Jó állapotú",32,49,0.653061224489796
"49,5 M Ft ","44  m2","1 és fél szoba ","Budapest, IX. kerület ","tégla építésû","Felújított állapotú",49.5,44,1.125
"35,9 M Ft ","51  m2","1 és 2 fél szoba ","Budapest, IX. kerület ","tégla építésû","Jó állapotú",35.9,51,0.703921568627451
"14,8 M Ft ","50  m2","2 szoba ","Sajószentpéter ","panellakás","Jó állapotú",14.8,50,0.296
"73,7 M Ft ","115  m2","2 és 2 fél szoba ","Budapest, XIII. kerület ","tégla építésû","Felújított állapotú",73.7,115,0.640869565217391
"34,5 M Ft ","39  m2","2 szoba ","Sopron ","tégla építésû","Új építésû",34.5,39,0.884615384615385
"6,1 M Ft ","50  m2","2 szoba ","Mátraderecske ","tégla építésû","Újszerû állapotú",6.1,50,0.122
"74,5 M Ft ","51  m2","2 szoba ","Budapest, XIII. kerület ","tégla építésû",NA,74.5,51,1.46078431372549
"33,9 M Ft ","47  m2","2 és fél szoba ","Budapest, X. kerület ","tégla építésû","Felújított állapotú",33.9,47,0.721276595744681
"40 M Ft ","56  m2","2 szoba ","Budapest, XIV. kerület ","tégla építésû","felújítandó",40,56,0.714285714285714
"25,9 M Ft ","57  m2","2 szoba ","Miskolc ","tégla építésû","Felújított állapotú",25.9,57,0.454385964912281
"45,9 M Ft ","68  m2","2 és fél szoba ","Budapest, XIII. kerület ","tégla építésû","felújítandó",45.9,68,0.675
"45,5 M Ft ","54  m2","2 szoba ","Budapest, IX. kerület ","tégla építésû","Jó állapotú",45.5,54,0.842592592592593
"62 M Ft ","65  m2","2 és fél szoba ","Budapest, IX. kerület ","tégla építésû","Jó állapotú",62,65,0.953846153846154
"56 M Ft ","83  m2","4 szoba ","Budapest, XVIII. kerület ","panellakás","Felújított állapotú",56,83,0.674698795180723
"26,9 M Ft ","40  m2","1 és fél szoba ","Budapest, XV. kerület ","tégla építésû","Jó állapotú",26.9,40,0.6725
"78,9 M Ft ","103  m2","4 szoba ","Budapest, VIII. kerület ","tégla építésû","Felújított állapotú",78.9,103,0.766019417475728
"125 M Ft ","175  m2","5 szoba ","Érd ","tégla építésû","Újszerû állapotú",125,175,0.714285714285714
"33 M Ft ","54  m2","1 szoba ","Debrecen ","tégla építésû","Jó állapotú",33,54,0.611111111111111
"29 M Ft ","40  m2","1 szoba ","Szeged ","tégla építésû","felújítandó",29,40,0.725
"79,9 M Ft ","85  m2","2 szoba ","Budapest, II. kerület ","tégla építésû","Jó állapotú",79.9,85,0.94
"65 M Ft ","85  m2","3 szoba ","Budapest, XI. kerület ","tégla építésû","Jó állapotú",65,85,0.764705882352941
"37 M Ft ","68  m2","3 szoba ","Hajdúszoboszló ","tégla építésû","Felújított állapotú",37,68,0.544117647058823
"79 M Ft ","119  m2","4 szoba ","Budapest, VI. kerület ","tégla építésû","Felújított állapotú",79,119,0.663865546218487
"91 M Ft ","105  m2","4 szoba ","Solymár ","tégla építésû","Új építésû",91,105,0.866666666666667
"330 M Ft ","153  m2","3 és fél szoba ","Budapest, V. kerület ","tégla építésû","Felújított állapotú",330,153,2.15686274509804
"35 M Ft ","71  m2","3 szoba ","Miskolc ","tégla építésû","Újszerû állapotú",35,71,0.492957746478873
"28,5 M Ft ","74  m2","3 szoba ","Kecskemét ","tégla építésû","Jó állapotú",28.5,74,0.385135135135135
"34,5 M Ft ","60  m2","2 szoba ","Halásztelek ","tégla építésû","Felújított állapotú",34.5,60,0.575
"52,9 M Ft ","56  m2","2 szoba ","Budapest, XIV. kerület ","tégla építésû","Felújított állapotú",52.9,56,0.944642857142857
"32 M Ft ","60  m2","2 szoba ","Halásztelek ","tégla építésû","Jó állapotú",32,60,0.533333333333333
"19,5 M Ft ","45  m2","2 szoba ","Budapest, XVIII. kerület ","tégla építésû","felújítandó",19.5,45,0.433333333333333
"28,7 M Ft ","30  m2","1 szoba ","Budapest, III. kerület ","tégla építésû","Jó állapotú",28.7,30,0.956666666666667
"115 M Ft ","115  m2","4 szoba ","Budapest, IX. kerület ","tégla építésû","Felújított állapotú",115,115,1
"67,9 M Ft ","90  m2","3 és fél szoba ","Budapest, VI. kerület ","tégla építésû","Felújított állapotú",67.9,90,0.754444444444444
"149,5 M Ft ","73  m2","3 szoba ","Siófok ","tégla építésû","Újszerû állapotú",149.5,73,2.04794520547945
"53 M Ft ","137  m2","3 szoba ","Szeged ","tégla építésû","Jó állapotú",53,137,0.386861313868613
"54,9 M Ft ","100  m2","5 szoba ","Szigetmonostor ","tégla építésû",NA,54.9,100,0.549
"24 M Ft ","54  m2","2 szoba ","Kecskemét ","panellakás","Jó állapotú",24,54,0.444444444444444
"25,9 M Ft ","46  m2","2 szoba ","Budapest, XXI. kerület ","panellakás","Jó állapotú",25.9,46,0.56304347826087
"21 M Ft ","55  m2","2 szoba ","Nyíregyháza ","panellakás","Jó állapotú",21,55,0.381818181818182
"35,5 M Ft ","50  m2","2 szoba ","Budapest, III. kerület ","panellakás","Jó állapotú",35.5,50,0.71
"21,6 M Ft ","56  m2","2 szoba ","Mezõkövesd ","tégla építésû","Jó állapotú",21.6,56,0.385714285714286
"30,5 M Ft ","71  m2","3 szoba ","Debrecen ","panellakás","Jó állapotú",30.5,71,0.429577464788732
"23,5 M Ft ","49  m2","2 szoba ","Tatabánya ","panellakás","Jó állapotú",23.5,49,0.479591836734694
"36 M Ft ","56  m2","2 és fél szoba ","Tata ","panellakás","Felújított állapotú",36,56,0.642857142857143
"10,5 M Ft ","39  m2","1 és fél szoba ","Kazincbarcika ","panellakás","Jó állapotú",10.5,39,0.269230769230769
"16,9 M Ft ","19  m2","1 szoba ","Debrecen ","panellakás","Jó állapotú",16.9,19,0.889473684210526
"55,1 M Ft ","59  m2","2 szoba ","Budapest, XVI. kerület ","panellakás","Új építésû",55.1,59,0.933898305084746
"23 M Ft ","48  m2","2 szoba ","Hajdúböszörmény ","panellakás",NA,23,48,0.479166666666667
"29,4 M Ft ","65  m2","1 és 2 fél szoba ","Esztergom ","panellakás","Jó állapotú",29.4,65,0.452307692307692
"31,5 M Ft ","61  m2","2 és fél szoba ","Budapest, X. kerület ","tégla építésû","Jó állapotú",31.5,61,0.516393442622951
"31,9 M Ft ","63  m2","3 szoba ","Debrecen ","panellakás","Jó állapotú",31.9,63,0.506349206349206
"26,5 M Ft ","53  m2","2 és fél szoba ","Tököl ","panellakás","Felújított állapotú",26.5,53,0.5
"29,9 M Ft ","57  m2","2 és fél szoba ","Hajdúszoboszló ","tégla építésû","Újszerû állapotú",29.9,57,0.524561403508772
"85 M Ft ","83  m2","2 szoba ","Budapest, V. kerület ","tégla építésû",NA,85,83,1.02409638554217
"29,9 M Ft ","60  m2","2 és fél szoba ","Székesfehérvár ","panellakás","Jó állapotú",29.9,60,0.498333333333333
"35,8 M Ft ","50  m2","2 szoba ","Budapest, III. kerület ","panellakás","Felújított állapotú",35.8,50,0.716
"55,9 M Ft ","62  m2","2 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",55.9,62,0.901612903225806
"60,4 M Ft ","69  m2","2 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",60.4,69,0.87536231884058
"62,4 M Ft ","70  m2","2 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",62.4,70,0.891428571428571
"49,3 M Ft ","55  m2","2 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",49.3,55,0.896363636363636
"54,5 M Ft ","60  m2","2 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",54.5,60,0.908333333333333
"49,9 M Ft ","55  m2","2 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",49.9,55,0.907272727272727
"51 M Ft ","56  m2","2 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",51,56,0.910714285714286
"60,4 M Ft ","69  m2","2 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",60.4,69,0.87536231884058
"53,9 M Ft ","58  m2","2 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",53.9,58,0.929310344827586
"54,8 M Ft ","62  m2","2 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",54.8,62,0.883870967741935
"53,4 M Ft ","60  m2","2 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",53.4,60,0.89
"55,9 M Ft ","62  m2","2 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",55.9,62,0.901612903225806
"54,7 M Ft ","54  m2","2 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",54.7,54,1.01296296296296
"55 M Ft ","60  m2","2 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",55,60,0.916666666666667
"58,2 M Ft ","62  m2","2 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",58.2,62,0.938709677419355
"52,3 M Ft ","56  m2","2 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",52.3,56,0.933928571428571
"53,6 M Ft ","58  m2","2 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",53.6,58,0.924137931034483
"52,6 M Ft ","56  m2","2 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",52.6,56,0.939285714285714
"55 M Ft ","59  m2","2 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",55,59,0.932203389830508
"52,4 M Ft ","56  m2","2 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",52.4,56,0.935714285714286
"62,3 M Ft ","69  m2","2 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",62.3,69,0.902898550724638
"53 M Ft ","57  m2","2 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",53,57,0.929824561403509
"56,4 M Ft ","60  m2","2 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",56.4,60,0.94
"54 M Ft ","59  m2","2 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",54,59,0.915254237288136
"54,2 M Ft ","57  m2","2 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",54.2,57,0.950877192982456
